feature,feature_group,target,cramers_v
strikeId,stroke_state,next_actionId,0.4266815177698119
spinId,stroke_state,next_actionId,0.40876145237740386
handId,stroke_state,next_actionId,0.2846158588546176
gamePlayerOtherId,identifier,next_actionId,0.28044208145627975
actionId,stroke_state,next_actionId,0.27764802858250504
strengthId,stroke_state,next_actionId,0.2716763562954414
pointId,stroke_state,next_actionId,0.26771432742103535
match,identifier,next_actionId,0.2532217833270887
sex,context,next_actionId,0.2447657167299704
positionId,stroke_state,next_actionId,0.23615652021552005
gamePlayerId,identifier,next_actionId,0.22697849607914564
strikeNumber,temporal,next_actionId,0.16486908814750242
numberGame,context,next_actionId,0.04461739053736656
rally_id,identifier,next_actionId,0.027947628493549433
serverGetPoint,stroke_state,next_actionId,0.0270724349199256
scoreSelf,context,next_actionId,0.021978715852783434
scoreOther,context,next_actionId,0.02147358827364519
match,identifier,next_pointId,0.20421019256901765
gamePlayerOtherId,identifier,next_pointId,0.17918741951197698
sex,context,next_pointId,0.1751952345965231
gamePlayerId,identifier,next_pointId,0.17513749187076583
strikeId,stroke_state,next_pointId,0.17252784895920048
spinId,stroke_state,next_pointId,0.1679873116701222
pointId,stroke_state,next_pointId,0.1612347315118643
strengthId,stroke_state,next_pointId,0.15126811455978031
actionId,stroke_state,next_pointId,0.13766603729069657
handId,stroke_state,next_pointId,0.13021530469715956
strikeNumber,temporal,next_pointId,0.09939545121950989
positionId,stroke_state,next_pointId,0.08200678299195309
serverGetPoint,stroke_state,next_pointId,0.033331608336492256
numberGame,context,next_pointId,0.029966170835119654
rally_id,identifier,next_pointId,0.026585833528421927
scoreOther,context,next_pointId,0.0203607683788587
scoreSelf,context,next_pointId,0.019582583400781773
serverGetPoint,stroke_state,target_serverGetPoint,1.0
match,identifier,target_serverGetPoint,0.15039289397215544
strikeNumber,temporal,target_serverGetPoint,0.12542666252820103
gamePlayerId,identifier,target_serverGetPoint,0.09178996394924634
gamePlayerOtherId,identifier,target_serverGetPoint,0.091049781169136
rally_id,identifier,target_serverGetPoint,0.059723165717265186
actionId,stroke_state,target_serverGetPoint,0.04266291737840936
strikeId,stroke_state,target_serverGetPoint,0.04134852704378122
scoreSelf,context,target_serverGetPoint,0.038942854875604435
scoreOther,context,target_serverGetPoint,0.03546695337722518
pointId,stroke_state,target_serverGetPoint,0.0322605437944762
handId,stroke_state,target_serverGetPoint,0.02506578984056976
sex,context,target_serverGetPoint,0.022232690350327752
strengthId,stroke_state,target_serverGetPoint,0.021151035162062324
numberGame,context,target_serverGetPoint,0.021118266812036157
spinId,stroke_state,target_serverGetPoint,0.01626863910165353
positionId,stroke_state,target_serverGetPoint,0.01241543359168634
