target_actionId,count,share,label
13,3185,0.21240413471157052,13:Block
1,2722,0.18152717572524174,1:Drive
0,2046,0.13644548182727576,0:Zero
2,1714,0.11430476825608536,2:Counter
6,1352,0.09016338779593197,6:FastPush
5,1022,0.06815605201733911,5:FastDrive
10,728,0.048549516505501836,10:LongPush
12,478,0.03187729243081027,12:Chop
3,465,0.03101033677892631,3:Smash
4,421,0.028076025341780594,4:Twist
7,282,0.018806268756252083,7:Flip
11,245,0.01633877959319773,11:DropShot
14,158,0.010536845615205069,14:Lob
9,120,0.008002667555851951,9:PimpleFastPush
8,56,0.0037345781927309103,8:PimplePush
16,1,6.668889629876625e-05,16:HookServe
