rally_uid,sex,match,numberGame,rally_id,strikeNumber,scoreSelf,scoreOther,serverGetPoint,gamePlayerId,gamePlayerOtherId,strikeId,handId,strengthId,spinId,pointId,actionId,positionId,prev_actionId,next_actionId,prev_pointId,next_pointId,prev_spinId,next_spinId,prev_positionId,next_positionId,prev_handId,next_handId,prev_strengthId,next_strengthId,prev_strikeId,next_strikeId,has_next,target_serverGetPoint,score_diff,score_total,lead_state,is_close_score,is_deuce_like,is_game_point_self,is_game_point_other,strike_parity,serve_receive_phase,stage_bucket,action_group,action_spin_combo,action_point_combo,hand_action_combo,action_bigram,spin_bigram,action_changed,point_changed,spin_changed,position_changed,hand_changed,prefix_attack_count,prefix_control_count,prefix_defense_count,prefix_serve_count,prefix_unique_action_count,same_action_run_len,same_action_run_bucket
1,2,1,1,1,15,0,0,0,1,2,4,0,0,0,0,0,0,3,,9,,3,,0,,1,,3,,4,,False,0,0,0,0,1,0,0,0,1,rally,9plus_late,Zero,0|0,0|0,0|0,3->0,3->0,1,1,1,0,1,1,11,1,1,5,1,1
2,2,1,1,2,4,1,0,1,2,1,4,2,0,0,0,13,0,3,,7,,2,,0,,1,,2,,4,,False,1,1,1,1,1,0,0,0,0,rally,3_4_early,Defense,13|0,13|0,2|13,3->13,2->0,1,1,1,0,1,1,0,2,1,4,1,1
3,2,1,1,3,7,1,1,0,2,1,4,1,3,3,0,3,0,10,,8,,2,,0,,2,,2,,4,,False,0,0,2,0,1,0,0,0,1,rally,5_8_mid,Attack,3|3,3|0,1|3,10->3,2->3,1,1,1,0,1,2,3,1,1,5,1,1
4,2,1,1,4,14,2,1,1,1,2,4,0,0,0,0,0,0,10,,1,,2,,0,,1,,2,,4,,False,1,1,3,1,1,0,0,0,0,rally,9plus_late,Zero,0|0,0|0,0|0,10->0,2->0,1,1,1,0,1,1,11,0,1,5,1,1
5,2,1,1,5,11,2,2,0,1,2,4,1,2,2,0,3,0,10,,4,,2,,0,,2,,1,,4,,False,0,0,4,0,1,0,0,0,1,rally,9plus_late,Attack,3|2,3|0,1|3,10->3,2->2,1,1,0,0,1,1,8,1,1,5,1,1
6,2,1,1,6,3,2,3,0,1,2,4,2,2,2,0,10,0,10,,8,,2,,2,,1,,2,,2,,False,0,-1,5,-1,1,0,0,0,1,rally,3_4_early,Control,10|2,10|0,2|10,10->10,2->2,0,1,0,1,1,0,2,0,1,2,2,2
7,2,1,1,7,3,4,2,0,2,1,4,2,1,2,0,10,0,10,,9,,2,,1,,2,,2,,2,,False,0,2,6,1,0,0,0,0,1,rally,3_4_early,Control,10|2,10|0,2|10,10->10,2->2,0,1,0,1,0,0,2,0,1,2,2,2
8,2,1,1,8,8,3,4,1,1,2,4,1,0,0,0,13,0,3,,7,,3,,0,,1,,3,,4,,False,1,-1,7,-1,1,0,0,0,0,rally,5_8_mid,Defense,13|0,13|0,1|13,3->13,3->0,1,1,1,0,0,1,5,1,1,4,1,1
9,2,1,1,9,10,5,3,1,2,1,4,1,0,3,0,5,0,3,,8,,2,,0,,1,,3,,4,,False,1,2,8,1,0,0,0,0,0,rally,9plus_late,Attack,5|3,5|0,1|5,3->5,2->3,1,1,1,0,0,2,6,1,1,5,1,1
10,2,1,1,10,6,5,4,1,2,1,4,2,1,2,0,10,0,10,,5,,2,,0,,1,,2,,4,,False,1,1,9,1,1,0,0,0,0,rally,5_8_mid,Control,10|2,10|0,2|10,10->10,2->2,0,1,0,0,1,0,4,1,1,3,4,4plus
11,2,1,1,11,18,5,5,1,1,2,4,0,0,0,0,0,0,3,,9,,3,,0,,1,,2,,4,,False,1,0,10,0,1,0,0,0,0,rally,9plus_late,Zero,0|0,0|0,0|0,3->0,3->0,1,1,1,0,1,1,15,0,1,4,1,1
12,2,1,1,12,20,5,6,1,1,2,4,2,1,3,0,6,0,13,,5,,3,,0,,1,,1,,4,,False,1,-1,11,-1,1,0,0,0,0,rally,9plus_late,Attack,6|3,6|0,2|6,13->6,3->3,1,1,0,0,1,4,13,2,1,6,1,1
13,2,1,1,13,5,5,7,0,1,2,4,1,2,3,0,13,0,3,,7,,3,,0,,1,,3,,4,,False,0,-2,12,-1,0,0,0,0,1,rally,5_8_mid,Defense,13|3,13|0,1|13,3->13,3->3,1,1,0,0,0,1,1,2,1,5,1,1
14,2,1,1,14,12,8,5,1,2,1,4,2,1,2,0,10,0,10,,6,,2,,0,,2,,1,,4,,False,1,3,13,1,0,0,0,0,0,rally,9plus_late,Control,10|2,10|0,2|10,10->10,2->2,0,1,0,0,0,0,9,2,1,3,6,4plus
15,2,1,1,15,3,8,6,0,2,1,4,1,2,3,0,3,0,6,,7,,3,,1,,2,,2,,2,,False,0,2,14,1,0,0,0,0,1,rally,3_4_early,Attack,3|3,3|0,1|3,6->3,3->3,1,1,0,1,1,2,0,0,1,3,1,1
16,2,1,1,16,3,8,7,0,2,1,4,1,2,3,0,13,0,6,,7,,3,,1,,2,,2,,2,,False,0,1,15,1,1,0,0,0,1,rally,3_4_early,Defense,13|3,13|0,1|13,6->13,3->3,1,1,0,1,1,1,0,1,1,3,1,1
17,2,1,1,17,8,8,8,1,2,1,4,1,3,2,0,10,0,10,,6,,2,,0,,2,,1,,4,,False,1,0,16,0,1,0,0,0,0,rally,5_8_mid,Control,10|2,10|0,1|10,10->10,2->2,0,1,0,0,1,0,6,1,1,3,6,4plus
18,2,1,1,18,23,9,8,0,1,2,4,2,0,0,0,13,0,3,,6,,3,,0,,1,,2,,4,,False,0,1,17,1,1,0,0,0,1,rally,9plus_late,Defense,13|0,13|0,2|13,3->13,3->0,1,1,1,0,1,1,19,2,1,5,1,1
19,2,1,1,19,2,9,9,1,1,2,2,2,2,2,0,10,1,15,,6,,5,,1,,1,,3,,1,,False,1,0,18,0,1,0,0,0,0,receive,2_receive,Control,10|2,10|0,2|10,15->10,5->2,1,1,1,0,1,0,1,0,1,2,1,1
20,2,1,1,20,8,9,10,1,1,2,4,1,2,2,0,3,0,10,,8,,2,,0,,2,,1,,4,,False,1,-1,19,-1,1,0,0,1,0,rally,5_8_mid,Attack,3|2,3|0,1|3,10->3,2->2,1,1,0,0,1,1,6,0,1,3,1,1
21,2,1,2,1,10,0,0,1,1,2,4,2,1,2,0,10,0,10,,7,,2,,0,,2,,1,,4,,False,1,0,0,0,1,0,0,0,0,rally,9plus_late,Control,10|2,10|0,2|10,10->10,2->2,0,1,0,0,0,1,7,1,1,4,7,4plus
22,2,1,2,2,2,0,1,1,1,2,2,1,2,2,0,10,1,18,,9,,4,,1,,1,,2,,1,,False,1,-1,1,-1,1,0,0,0,0,receive,2_receive,Control,10|2,10|0,1|10,18->10,4->2,1,1,1,0,0,0,1,0,1,2,1,1
23,2,1,2,3,9,0,2,0,1,2,4,1,2,2,0,3,0,10,,9,,2,,0,,2,,1,,4,,False,0,-2,2,-1,0,0,0,0,1,rally,9plus_late,Attack,3|2,3|0,1|3,10->3,2->2,1,1,0,0,1,1,6,1,1,4,1,1
24,2,1,2,4,15,0,3,0,1,2,4,1,1,2,0,10,0,10,,7,,2,,0,,2,,1,,4,,False,0,-3,3,-1,0,0,0,0,1,rally,9plus_late,Control,10|2,10|0,1|10,10->10,2->2,0,1,0,0,1,0,13,1,1,3,13,4plus
25,2,1,2,5,3,4,0,0,2,1,4,1,3,3,0,3,0,10,,8,,2,,2,,1,,1,,2,,False,0,4,4,1,0,0,0,0,1,rally,3_4_early,Attack,3|3,3|0,1|3,10->3,2->3,1,1,1,1,0,1,1,0,1,3,1,1
26,2,1,2,6,16,1,4,1,1,2,4,1,1,2,0,10,0,10,,7,,2,,0,,2,,1,,4,,False,1,-3,5,-1,0,0,0,0,0,rally,9plus_late,Control,10|2,10|0,1|10,10->10,2->2,0,1,0,0,1,0,15,0,1,2,15,4plus
27,2,1,2,7,3,1,5,0,1,2,4,1,3,2,0,3,0,10,,7,,2,,2,,1,,2,,2,,False,0,-4,6,-1,0,0,0,0,1,rally,3_4_early,Attack,3|2,3|0,1|3,10->3,2->2,1,1,0,1,0,1,1,0,1,3,1,1
28,2,1,2,8,16,6,1,1,2,1,4,2,0,0,0,13,0,6,,8,,3,,0,,2,,2,,4,,False,1,5,7,1,0,0,0,0,0,rally,9plus_late,Defense,13|0,13|0,2|13,6->13,3->0,1,1,1,0,0,3,7,5,1,6,1,1
29,2,1,2,9,7,6,2,0,2,1,4,1,1,2,0,10,0,10,,2,,2,,0,,1,,2,,4,,False,0,4,8,1,0,0,0,0,1,rally,5_8_mid,Control,10|2,10|0,1|10,10->10,2->2,0,1,0,0,0,0,5,1,1,3,4,4plus
30,2,1,2,10,6,3,6,1,1,2,4,2,1,3,0,6,0,3,,9,,3,,0,,1,,2,,4,,False,1,-3,9,-1,0,0,0,0,0,rally,5_8_mid,Attack,6|3,6|0,2|6,3->6,3->3,1,1,0,0,1,5,0,0,1,4,1,1
